        20        10
      8.73      0.51    9
      9.70      0.47    9
     10.67      0.38    9
     11.64      0.47    9
     12.61      0.63    9
     13.58      0.46    9
     14.55      0.64    9
     15.52      0.47    9
     16.49      0.95    9
     17.46      0.72    9
     18.43      0.45    9
     19.40      0.32    9
      0.97      0.57   10
      1.94      0.62   10
      2.91      0.27   10
      3.88      0.74   10
      4.85      0.37   10
      5.82      0.50   10
      6.79      0.37   10
      7.76      0.75   10
      8.73      0.80   10
      9.70      0.88   10
     10.67      0.86   10
     11.64      0.46   10
     12.61      0.69   10
     13.58      0.50   10
     14.55      0.73   10
     15.52      0.69   10
     16.49      0.59   10
     17.46      0.95   10
     18.43      0.54   10
     19.40      0.49   10
        20        10
      0.97      0.54    0
      1.94      0.72    0
      2.91      0.61    0
      3.88      0.61    0
      4.85      0.43    0
      5.82      0.59    0
      6.79      0.64    0
      7.76      0.49    0
      8.73      0.72    0
      9.70      0.32    0
     10.67      0.83    0
     11.64      0.80    0
     12.61      0.73    0
     13.58      0.46    0
     14.55      0.78    0
     15.52      0.44    0
     16.49      0.71    0
     17.46      0.72    0
     18.43      0.77    0
     19.40      0.32    0
      0.97      0.74    1
      1.94      0.89    1
      2.91      0.56    1
      3.88      0.98    1
      4.85      0.23    1
      5.82      0.75    1
      6.79      0.07    1
      7.76      0.63    1
      8.73      0.46    1
      9.70      0.71    1
     10.67      0.94    1
     11.64      0.99    1
     12.61      0.78    1
     13.58      1.12    1
     14.55      0.58    1
     15.52      0.71    1
     16.49      0.36    1
     17.46      0.75    1
     18.43      0.91    1
     19.40      0.67    1
      0.97      0.21    2
      1.94      0.48    2
      2.91      0.60    2
      3.88      0.89    2
      4.85      0.80    2
      5.82      0.48    2
      6.79      0.54    2
      7.76      0.54    2
      8.73      0.44    2
      9.70      0.62    2
     10.67      0.45    2
     11.64      0.73    2
     12.61      0.65    2
     13.58      0.51    2
     14.55      0.31    2
     15.52      0.84    2
     16.49      0.67    2
     17.46      0.73    2
     18.43      0.32    2
     19.40      0.77    2
      0.97      0.57    3
      1.94      0.75    3
      2.91      0.46    3
      3.88      1.03    3
      4.85      0.85    3
      5.82      0.56    3
      6.79      0.90    3
      7.76      0.70    3
      8.73      0.75    3
      9.70      0.65    3
     10.67      0.67    3
     11.64      0.33    3
     12.61      0.59    3
     13.58      0.89    3
     14.55      0.43    3
     15.52      0.43    3
     16.49      0.66    3
     17.46      0.89    3
     18.43      0.16    3
     19.40      0.53    3
      0.97      0.66    4
      1.94      0.87    4
      2.91      0.53    4
      3.88      0.81    4
      4.85      0.30    4
      5.82      0.34    4
      6.79      0.39    4
      7.76      0.84    4
      8.73      0.31    4
      9.70      0.63    4
     10.67      0.58    4
     11.64      0.82    4
     12.61      0.75    4
     13.58      0.52    4
     14.55      0.52    4
     15.52      0.72    4
     16.49      0.64    4
     17.46      0.67    4
     18.43      0.42    4
     19.40      0.73    4
      0.97      0.90    5
      1.94      0.52    5
      2.91      0.55    5
      3.88      0.89    5
      4.85      0.38    5
      5.82      0.82    5
      6.79      0.62    5
      7.76      0.34    5
      8.73      0.78    5
      9.70      0.49    5
     10.67      0.71    5
     11.64      0.26    5
     12.61      0.24    5
     13.58      0.57    5
     14.55      0.81    5
     15.52      0.38    5
     16.49      0.31    5
     17.46      0.44    5
     18.43      0.48    5
     19.40      0.77    5
      0.97      0.56    6
      1.94      0.43    6
      2.91      0.97    6
      3.88      0.40    6
      4.85      1.01    6
      5.82      0.89    6
      6.79      0.68    6
      7.76      0.50    6
      8.73      0.62    6
      9.70      0.70    6
     10.67      0.97    6
     11.64      0.51    6
     12.61      0.27    6
     13.58      0.65    6
     14.55      0.63    6
     15.52      0.87    6
     16.49      0.48    6
     17.46      0.37    6
     18.43      0.55    6
     19.40      0.39    6
      0.97      0.76    7
      1.94      0.96    7
      2.91      0.74    7
      3.88      0.25    7
      4.85      0.73    7
      5.82      0.45    7
      6.79      0.68    7
      7.76      0.61    7
      8.73      0.47    7
      9.70      0.70    7
     10.67      0.75    7
     11.64      0.68    7
     12.61      0.48    7
     13.58      0.41    7
     14.55      0.45    7
     15.52      0.28    7
     16.49      0.62    7
     17.46      0.65    7
     18.43      0.76    7
     19.40      0.56    7
      0.97      0.91    8
      1.94      0.55    8
      2.91      0.49    8
      3.88      0.66    8
      4.85      0.31    8
      5.82      0.40    8
      6.79      0.43    8
      7.76      0.65    8
      8.73      0.62    8
      9.70      0.88    8
     10.67      0.52    8
     11.64      0.54    8
     12.61      0.36    8
     13.58      0.44    8
     14.55      0.97    8
     15.52      0.51    8
     16.49      0.53    8
     17.46      0.46    8
     18.43      0.38    8
     19.40      0.57    8
      0.97      0.68    9
      1.94      0.60    9
      2.91      0.50    9
      3.88      0.35    9
      4.85      0.70    9
      5.82      0.89    9
      6.79      0.64    9
      7.76      0.82    9
      8.73      0.44    9
      9.70      0.98    9
     10.67      0.71    9
     11.64      0.63    9
     12.61      0.83    9
     13.58      0.61    9
     14.55      0.49    9
     15.52      0.27    9
     16.49      0.85    9
     17.46      0.67    9
     18.43      0.75    9
     19.40      0.61    9
      0.97      0.30   10
      1.94      0.51   10
      2.91      0.51   10
      3.88      0.69   10
      4.85      0.58   10
      5.82      0.63   10
      6.79      0.50   10
      7.76      0.75   10
      8.73      0.65   10
      9.70      0.66   10
     10.67      0.36   10
     11.64      0.40   10
     12.61      0.71   10
     13.58      0.52   10
     14.55      0.51   10
     15.52      0.62   10
     16.49      0.82   10
     17.46      0.41   10
     18.43      0.87   10
     19.40      0.46   10
